--------- beginning of main
--------- beginning of system
08-03 18:09:50.725  9573 19229 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-03 18:09:50.726  9573 19229 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.726  9573 19229 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.726  9573 19229 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '6', toString = 'LruCache[maxSize=100,hits=3,misses=6,hitRate=33%]', 
08-03 18:09:50.726  9573 19229 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:50.734  9573 19231 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-03 18:09:50.735  9573 19231 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.735  9573 19231 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.735  9573 19231 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '7', toString = 'LruCache[maxSize=100,hits=3,misses=7,hitRate=30%]', 
08-03 18:09:50.735  9573 19231 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:50.744  9573 19233 D CustomInterceptor: NETWORK-PROVIDER https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-03 18:09:50.744  9573 19233 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.744  9573 19233 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.744  9573 19233 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-03 18:09:50.744  9573 19233 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:50.754  9573 19230 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 18:09:50.754  9573 19230 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.755  9573 19230 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.755  9573 19230 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-03 18:09:50.755  9573 19230 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:50.763  9573 19232 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-03 18:09:50.764  9573 19232 D CustomInterceptor: HEADER REQUEST
08-03 18:09:50.764  9573 19232 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:09:50.764  9573 19232 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-03 18:09:50.764  9573 19232 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:09:50.803  9573 19230 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:50.804  9573 19230 D CustomInterceptor: Cache-Control max-age=3600
08-03 18:09:50.804  9573 19230 D CustomInterceptor: Content-Length 43
08-03 18:09:50.804  9573 19230 D CustomInterceptor: Content-Type image/gif
08-03 18:09:50.804  9573 19230 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:46 GMT
08-03 18:09:50.804  9573 19230 D CustomInterceptor: Expires Mon, 03 Aug 2020 17:09:46 GMT
08-03 18:09:50.804  9573 19230 D CustomInterceptor: Server GSE
08-03 18:09:50.804  9573 19230 D CustomInterceptor: X-Content-Type-Options nosniff
08-03 18:09:50.804  9573 19230 D CustomInterceptor: X-XSS-Protection 1; mode=block
08-03 18:09:50.804  9573 19230 D CustomInterceptor: CACHEABLE true
08-03 18:09:50.804  9573 19230 D CustomInterceptor: REQ http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 18:09:50.804  9573 19230 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:50.804  9573 19230 D CustomInterceptor: PREFLIB Adding response to lrucache - http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-03 18:09:50.806  9573 19230 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:51.085  9573 19226 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
