--------- beginning of main
--------- beginning of system
08-05 12:34:55.096  4395 24600 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.097  4395 24600 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '8', toString = 'LruCache[maxSize=100,hits=3,misses=8,hitRate=27%]', 
08-05 12:34:55.097  4395 24600 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:55.107  4395 24597 D CustomInterceptor: NETWORK-PROVIDER http://feeds.feedburner.com/~r/retort/~4/UffaFMiJbNs
08-05 12:34:55.107  4395 24597 D CustomInterceptor: HEADER REQUEST
08-05 12:34:55.107  4395 24597 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.107  4395 24597 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '9', toString = 'LruCache[maxSize=100,hits=3,misses=9,hitRate=25%]', 
08-05 12:34:55.107  4395 24597 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:55.116  4395 24599 D CustomInterceptor: NETWORK-PROVIDER https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-05 12:34:55.116  4395 24599 D CustomInterceptor: HEADER REQUEST
08-05 12:34:55.116  4395 24599 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:34:55.116  4395 24599 D CustomInterceptor: CACHED STATS: size = '3', maxSize = '100', hitCount = '3', createCount = '0', putCount = '3', evictionCount = '0', missCount = '10', toString = 'LruCache[maxSize=100,hits=3,misses=10,hitRate=23%]', 
08-05 12:34:55.116  4395 24599 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:34:55.161  4395 24597 D CustomInterceptor: HEADER RESPONSE
